$ ./script/performance/profiler 'Rails.env.development?' 
Loading Rails...
Using the standard Ruby profiler.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 50.00     0.05      0.05      436     0.11     0.11  Hash#key?
 20.00     0.07      0.02      435     0.05     0.05  Array#shift
 10.00     0.08      0.01        2     5.00    20.00  Array#map
 10.00     0.09      0.01      435     0.02     0.02  Kernel.__send__
 10.00     0.10      0.01       13     0.77     0.77  Array#each
  0.00     0.10      0.00        2     0.00     0.00  String#[]
  0.00     0.10      0.00        1     0.00     0.00  String#initialize
  0.00     0.10      0.00        2     0.00     0.00  Module#const_defined?
  0.00     0.10      0.00        4     0.00    25.00  Array#collect
  0.00     0.10      0.00        6     0.00     0.00  Kernel.object_id
  0.00     0.10      0.00        8     0.00     0.00  Module#const_get
  0.00     0.10      0.00        3     0.00     0.00  Object#initialize
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::Dependencies.qualified_const_defined?
  0.00     0.10      0.00        2     0.00     0.00  Array#concat
  0.00     0.10      0.00        4     0.00     0.00  Hash#[]=
  0.00     0.10      0.00       10     0.00     0.00  Module#==
  0.00     0.10      0.00        1     0.00     0.00  Array#-
  0.00     0.10      0.00        2     0.00     0.00  String#empty?
  0.00     0.10      0.00        2     0.00     0.00  String#split
  0.00     0.10      0.00        2     0.00    30.00  Module#local_constants
  0.00     0.10      0.00        2     0.00     0.00  Hash#[]
  0.00     0.10      0.00        3     0.00     0.00  Proc#new
  0.00     0.10      0.00        2     0.00     0.00  Kernel.is_a?
  0.00     0.10      0.00        1     0.00   100.00  Object#profile_me
  0.00     0.10      0.00        1     0.00     0.00  Array#blank?
  0.00     0.10      0.00        3     0.00     0.00  ActiveSupport::Dependencies.constant_watch_stack
  0.00     0.10      0.00        2     0.00    50.00  Module#local_constant_names
  0.00     0.10      0.00        2     0.00     0.00  ActiveSupport::Dependencies.log_activity
  0.00     0.10      0.00        3     0.00     0.00  Symbol#to_proc
  0.00     0.10      0.00        1     0.00     0.00  Fixnum#-@
  0.00     0.10      0.00        2     0.00     0.00  String#length
  0.00     0.10      0.00        1     0.00     0.00  Array#*
  0.00     0.10      0.00      436     0.00     0.00  String#to_s
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::Dependencies.log_call
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::Dependencies.uninherited_const_defined?
  0.00     0.10      0.00        2     0.00    25.00  Array#select
  0.00     0.10      0.00        2     0.00     0.00  Fixnum#==
  0.00     0.10      0.00        1     0.00   100.00  Object#require
  0.00     0.10      0.00        1     0.00     0.00  Array#flatten
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::Inflector.constantize
  0.00     0.10      0.00        1     0.00     0.00  Module#name
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::Dependencies.log
  0.00     0.10      0.00        3     0.00     0.00  String#==
  0.00     0.10      0.00        1     0.00     0.00  Enumerable.inject
  0.00     0.10      0.00       10     0.00     0.00  Module#constants
  0.00     0.10      0.00        2     0.00     0.00  Module#ancestors
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::CoreExtensions::String::StartsEndsWith.ends_with?
  0.00     0.10      0.00        2     0.00     0.00  Symbol#to_s
  0.00     0.10      0.00        1     0.00   100.00  Rails.env
  0.00     0.10      0.00        1     0.00   100.00  ActiveSupport::Dependencies.new_constants_in
  0.00     0.10      0.00        1     0.00     0.00  Array#delete_if
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::CoreExtensions::String::Inflections.constantize
  0.00     0.10      0.00        2     0.00     0.00  Array#first
  0.00     0.10      0.00        1     0.00     0.00  Kernel.require
  0.00     0.10      0.00        1     0.00     0.00  Kernel.gem_original_require
  0.00     0.10      0.00        1     0.00     0.00  Array#empty?
  0.00     0.10      0.00        1     0.00     0.00  Class#new
  0.00     0.10      0.00        1     0.00     0.00  Array#include?
  0.00     0.10      0.00        1     0.00     0.00  ActiveSupport::StringInquirer#method_missing
  0.00     0.10      0.00        1     0.00   100.00  #toplevel
