Top 20
+31033: String (31033)
+5145: Array (5145)
+1092: Regexp (1092)
 +945: Class (945)
 +484: Proc (484)
 +389: Hash (389)
 +364: Module (364)
 +210: ActionController::Routing::DividerSegment (210)
 +157: Range (157)
 +142: TimeZone (142)
 +124: Gem::Version (124)
 +116: Gem::Requirement (116)
  +88: Rake::FileList (88)
  +87: Mutex (87)
  +86: UnboundMethod (86)
  +79: Rake::Task (79)
  +77: ActionController::Routing::StaticSegment (77)
  +69: ActionController::Routing::DynamicSegment (69)
  +62: ActionController::Routing::Route (62)
  +57: Rational (57)
Top 20
+917306: String (948339)
+302935: Hash (303324)
+99382: Word (99382)
+51067: Sentence (51067)
+1728: Tree::TreeNode (1728)
+1617: ParseNodeInfo (1617)
 +339: Array (5484)
 +159: Float (212)
 +111: ParseTree (111)
 +100: Proc (584)
  +92: Time (139)
  +89: MatchData (132)
  +62: ActiveSupport::Callbacks::CallbackChain (86)
  +29: ActiveRecord::ConnectionAdapters::MysqlColumn (29)
  +26: Parse (26)
  +25: Mysql::Result (26)
  +14: Set (33)
  +12: ActiveSupport::Callbacks::Callback (36)
  +10: Token (10)
  -20: Regexp (1072)
Top 20
+305164: String (1253503)
+63333: Hash (366657)
+29963: Sentence (81030)
+4652: Array (10136)
+3001: Tree::TreeNode (4729)
+2788: ParseNodeInfo (4405)
 +213: ParseTree (324)
 +198: Float (410)
 +114: Time (253)
 +103: MatchData (235)
 +102: Proc (686)
  +82: ActiveSupport::Callbacks::CallbackChain (168)
  +51: Parse (77)
  +21: Mysql::Result (47)
  +21: Token (31)
   +9: TokenSet (16)
   +8: ActiveRecord::Errors (16)
   -8: ActiveRecord::ConnectionAdapters::MysqlColumn (21)
Top 20
+198781: String (1452284)
+39998: Hash (406655)
+18616: Sentence (99646)
+4566: Array (14702)
+2709: Tree::TreeNode (7438)
+2488: ParseNodeInfo (6893)
 +221: ParseTree (545)
 +126: MatchData (361)
 +124: Float (534)
  +66: Time (319)
  +30: Proc (716)
  +27: Mysql::Result (74)
  +27: ActiveRecord::ConnectionAdapters::MysqlColumn (48)
  +18: ActiveSupport::Callbacks::CallbackChain (186)
   +6: Word (99388)
   +2: Set (35)
   +1: ActiveRecord::Errors (17)
   -1: Token (30)
  -38: Parse (39)
Top 20
+182371: String (1634655)
+38427: Hash (445082)
+18037: Sentence (117683)
+2348: Tree::TreeNode (9786)
+2207: Array (16909)
+2170: ParseNodeInfo (9063)
 +178: ParseTree (723)
  +27: MatchData (388)
   +7: Parse (46)
   +7: ActiveRecord::ConnectionAdapters::MysqlColumn (55)
   +5: Mysql::Result (79)
   +3: Set (38)
   +1: Token (31)
   -1: TokenSet (15)
   -2: ActiveRecord::Errors (15)
   -3: Float (531)
   -5: Time (314)
  -16: Proc (700)
  -21: ActiveSupport::Callbacks::CallbackChain (165)
