Top 20
+86152: String (86152)
+10863: Hash (10863)
+1979: Array (1979)
+1067: Regexp (1067)
 +945: Class (945)
 +478: Proc (478)
 +364: Module (364)
 +210: ActionController::Routing::DividerSegment (210)
 +154: Range (154)
 +142: TimeZone (142)
 +123: Gem::Version (123)
 +115: Gem::Requirement (115)
  +88: Rake::FileList (88)
  +87: Mutex (87)
  +86: UnboundMethod (86)
  +79: Rake::Task (79)
  +77: ActionController::Routing::StaticSegment (77)
  +69: ActionController::Routing::DynamicSegment (69)
  +62: ActionController::Routing::Route (62)
  +57: Rational (57)
Top 20
+362975: String (449127)
+198086: Hash (208949)
+99383: Word (99383)
+10903: Array (12882)
+9285: Tree::TreeNode (9285)
+8602: ParseNodeInfo (8602)
 +683: ParseTree (683)
 +257: Float (301)
 +209: MatchData (211)
 +161: Proc (639)
 +129: Time (170)
 +124: ActiveSupport::Callbacks::CallbackChain (132)
  +45: Mysql::Result (46)
  +28: Parse (28)
  +25: Token (25)
  +25: ActiveRecord::ConnectionAdapters::MysqlColumn (25)
  +12: ActiveRecord::Errors (12)
  +12: TokenSet (12)
  +11: Set (30)
   +8: ActiveSupport::Callbacks::Callback (32)
Top 20
+22389: String (471516)
+10830: Array (23712)
+9858: Hash (218807)
+9467: Tree::TreeNode (18752)
+8817: ParseNodeInfo (17419)
 +650: ParseTree (1333)
 +211: Float (512)
 +187: MatchData (398)
 +110: Proc (749)
 +105: Time (275)
  +80: ActiveSupport::Callbacks::CallbackChain (212)
  +37: Mysql::Result (83)
  +24: Parse (52)
  +18: ActiveRecord::ConnectionAdapters::MysqlColumn (43)
  +12: Token (37)
   +8: TokenSet (20)
   +8: ActiveRecord::Errors (20)
   +6: Word (99389)
Top 20
+20080: String (491596)
+10040: Array (33752)
+9999: Hash (228806)
+9946: Tree::TreeNode (28698)
+9384: ParseNodeInfo (26803)
 +562: ParseTree (1895)
  +20: ActiveSupport::Callbacks::CallbackChain (232)
  +18: Proc (767)
  +17: Float (529)
   +8: Time (283)
   +6: Parse (58)
   +4: MatchData (402)
   +4: Token (41)
   +3: ActiveRecord::Errors (23)
   +3: TokenSet (23)
   -3: Word (99386)
   -6: ActiveRecord::ConnectionAdapters::MysqlColumn (37)
Top 20
+7678: Tree::TreeNode (36376)
+7512: String (499108)
+7027: Hash (235833)
+7020: ParseNodeInfo (33823)
+5724: Array (39476)
 +658: ParseTree (2553)
   +6: ActiveRecord::ConnectionAdapters::MysqlColumn (43)
   +4: Word (99390)
  -17: TokenSet (6)
  -17: ActiveRecord::Errors (6)
  -34: Token (7)
  -46: Mysql::Result (37)
  -46: Parse (12)
 -159: Time (124)
 -170: ActiveSupport::Callbacks::CallbackChain (62)
 -196: Proc (571)
 -225: MatchData (177)
 -315: Float (214)
