                user     system      total        real
find        5.210000   2.240000   7.450000 (  8.275189)
Thread ID: 69971917711720
Total: 7.450000

 %self     total     self     wait    child    calls  name
  4.97      0.88     0.37     0.00     0.51    70000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:347}
  4.56      0.34     0.34     0.00     0.00    30000  Regexp#match (ruby_runtime:0}
  3.49      0.26     0.26     0.00     0.00    10004  PGconn#exec (ruby_runtime:0}
  3.22      1.62     0.24     0.00     1.38    70000  <Class::ActiveRecord::Base>#connection_handler ((eval):1}
  3.09      0.30     0.23     0.00     0.07   360013  Hash#[] (ruby_runtime:0}
  2.95      0.82     0.22     0.00     0.60   150006  Class#new (ruby_runtime:0}
  2.82      0.26     0.21     0.00     0.05    70000  ActiveRecord::DynamicScopeMatch#initialize (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/dynamic_scope_match.rb:8}
  2.55      0.31     0.19     0.00     0.12    70000  ActiveRecord::DynamicFinderMatch#initialize (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/dynamic_finder_match.rb:8}
  2.55      0.33     0.19     0.00     0.14    70000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool(d1) (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:347}
  2.28      1.22     0.17     0.00     1.05    70000  <Class::ActiveRecord::Base>#respond_to? (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1504}
  2.15      0.19     0.16     0.00     0.03    30000  <Class::ActiveRecord::Base>#scoped_methods (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2218}
  2.01      1.07     0.15     0.00     0.92    20000  <Class::ActiveRecord::Base>#sanitize_sql (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2261}
  2.01      0.21     0.15     0.00     0.06    10001  Range#each(d1) (ruby_runtime:0}
  2.01      0.20     0.15     0.00     0.05    10000  Array#each_index (ruby_runtime:0}
  1.88      0.66     0.14     0.00     0.52    30000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#extract_pg_identifier_from_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:1066}
  1.88      2.22     0.14     0.00     2.08    50003  Array#each (ruby_runtime:0}
  1.74      0.48     0.13     0.00     0.35    10004  <Module::Benchmark>#realtime (/data/web/arch/1/lib/ruby/1.8/benchmark.rb:306}
  1.74      0.46     0.13     0.00     0.33    70000  <Class::ActiveRecord::DynamicScopeMatch>#match (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/dynamic_scope_match.rb:3}
  1.74      0.13     0.13     0.00     0.00   280006  Class#superclass (ruby_runtime:0}
  1.74      0.13     0.13     0.00     0.00   280000  Regexp#=== (ruby_runtime:0}
  1.48      4.01     0.11     0.00     3.90    10000  <Class::ActiveRecord::Base>#construct_finder_sql (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1711}
  1.34      0.78     0.10     0.00     0.68    30000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_table_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:397}
  1.34      0.12     0.10     0.00     0.02    10000  ActiveRecord::ConnectionAdapters::Quoting#quote (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/quoting.rb:6}
  1.34      0.10     0.10     0.00     0.00    90000  String#[] (ruby_runtime:0}
  1.34      0.10     0.10     0.00     0.00   150002  Module#name (ruby_runtime:0}
  1.34      1.24     0.10     0.00     1.14    70000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:324}
  1.21      0.26     0.09     0.00     0.17    70000  ActiveRecord::ConnectionAdapters::ConnectionPool#connection (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:94}
  1.21      0.57     0.09     0.00     0.48    70000  <Class::ActiveRecord::DynamicFinderMatch>#match (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/dynamic_finder_match.rb:3}
  1.21      0.14     0.09     0.00     0.05    70001  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:226}
  1.07      0.09     0.08     0.00     0.01    10000  Array#each(d1) (ruby_runtime:0}
  1.07      2.82     0.08     0.00     2.74    10000  <Class::ActiveRecord::Base>#find_by_sql (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:663}
  1.07      0.14     0.08     0.00     0.06    10000  <Class::ActiveRecord::Base>#instantiate (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1650}
  0.94      0.07     0.07     0.00     0.00   200010  Hash#default (ruby_runtime:0}
  0.94      0.07     0.07     0.00     0.00    70000  <Class::ActiveRecord::Base>#connection_handler(d1) ((eval):1}
  0.94      3.00     0.07     0.00     2.93    70000  <Class::ActiveRecord::Base>#connection (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_specification.rb:114}
  0.94      0.32     0.07     0.00     0.25    20002  Range#each (ruby_runtime:0}
  0.94      2.93     0.07     0.00     2.86    70000  <Class::ActiveRecord::Base>#retrieve_connection (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_specification.rb:122}
  0.81      1.98     0.06     0.00     1.92    10000  <Class::ActiveRecord::Base>#add_conditions! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1829}
  0.81      0.06     0.06     0.00     0.00    20000  <Class::ActiveRecord::Base>#safe_to_array (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1749}
  0.81      1.24     0.06     0.00     1.18    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#select_raw (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:1001}
  0.67      0.77     0.05     0.00     0.72    10008  String#gsub (ruby_runtime:0}
  0.67      7.45     0.05     0.00     7.40        1  Integer#times (ruby_runtime:0}
  0.67      0.05     0.05     0.00     0.00    20009  <Class::Time>#allocate (ruby_runtime:0}
  0.67      0.05     0.05     0.00     0.00   100003  <Class::Thread>#current (ruby_runtime:0}
  0.67      0.05     0.05     0.00     0.00    10000  Array#- (ruby_runtime:0}
  0.54      0.04     0.04     0.00     0.00   160004  Array#[] (ruby_runtime:0}
  0.54      0.04     0.04     0.00     0.00    10000  <Class::ActiveRecord::Base>#raise_if_bind_arity_mismatch (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2431}
  0.54      0.24     0.04     0.00     0.20    30000  <Class::ActiveRecord::Base>#current_scoped_methods (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2222}
  0.54      0.04     0.04     0.00     0.00   140003  Symbol#to_s (ruby_runtime:0}
  0.54      2.17     0.04     0.00     2.13    30000  <Class::ActiveRecord::Base>#quoted_table_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:3153}
  0.54      0.06     0.04     0.00     0.02    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#add_lock! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/database_statements.rb:216}
  0.54      0.19     0.04     0.00     0.15    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:345}
  0.54      0.19     0.04     0.00     0.15    10000  <Class::ActiveRecord::Base>#set_readonly_option! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2444}
  0.54      0.38     0.04     0.00     0.34    10001  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#result_as_array (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:484}
  0.54      0.04     0.04     0.00     0.00   120006  Array#<< (ruby_runtime:0}
  0.54      0.04     0.04     0.00     0.00    10000  <Class::ActiveRecord::Base>#add_joins! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1811}
  0.54      0.04     0.04     0.00     0.00    40000  Fixnum#> (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00   170001  Module#=== (ruby_runtime:0}
  0.40      0.27     0.03     0.00     0.24    30000  <Class::ActiveRecord::Base>#scope (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2212}
  0.40      0.54     0.03     0.00     0.51    10004  ActiveRecord::ConnectionAdapters::AbstractAdapter#log (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract_adapter.rb:203}
  0.40      0.03     0.03     0.00     0.00    90003  Fixnum#== (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00    29999  <Class::User(id: integer, name: string, created_at: datetime, updated_at: datetime)>#table_name ((eval):1}
  0.40      0.62     0.03     0.00     0.59    10000  <Class::ActiveRecord::Base>#add_limit! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1791}
  0.40      0.05     0.03     0.00     0.02    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#sanitize_limit (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/database_statements.rb:280}
  0.40      0.03     0.03     0.00     0.00    20000  Enumerable#any? (ruby_runtime:0}
  0.40      0.85     0.03     0.00     0.82    10000  <Class::ActiveRecord::Base>#replace_bind_variables (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2384}
  0.40      0.03     0.03     0.00     0.00    70004  Module#== (ruby_runtime:0}
  0.40      0.57     0.03     0.00     0.54    10003  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#execute (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:519}
  0.40      0.03     0.03     0.00     0.00   210006  <Class::Object>#allocate (ruby_runtime:0}
  0.40      0.90     0.03     0.00     0.87    10000  <Class::ActiveRecord::Base>#sanitize_sql_array (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2371}
  0.40      0.03     0.03     0.00     0.00    20002  PGresult#nfields (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00    90006  Kernel#respond_to? (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00    10000  <Class::ActiveRecord::Base>#default_select (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1703}
  0.40      1.41     0.03     0.00     1.38    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#select (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:988}
  0.40      0.03     0.03     0.00     0.00    60000  MatchData#[] (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00    40004  Kernel#kind_of? (ruby_runtime:0}
  0.40      0.03     0.03     0.00     0.00    10000  <Class::ActiveRecord::Base>#inheritance_column (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1213}
  0.40      7.07     0.03     0.00     7.04    10000  <Class::ActiveRecord::Base>#find_every (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1572}
  0.27      0.02     0.02     0.00     0.00    20000  Kernel#instance_variable_set (ruby_runtime:0}
  0.27      0.02     0.02     0.00     0.00    30000  Array#first (ruby_runtime:0}
  0.27      0.02     0.02     0.00     0.00    10000  NilClass#blank? (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/object/blank.rb:41}
  0.27      7.10     0.02     0.00     7.08    10000  <Class::ActiveRecord::Base>#find_initial (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1533}
  0.27      0.02     0.02     0.00     0.00    30002  Fixnum#to_s (ruby_runtime:0}
  0.27      1.89     0.02     0.00     1.87    10000  <Class::ActiveRecord::Base>#merge_conditions (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1519}
  0.27      0.09     0.02     0.00     0.07    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#add_limit_offset! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/database_statements.rb:201}
  0.27      1.44     0.02     0.00     1.42    10000  ActiveRecord::ConnectionAdapters::QueryCache#select_all (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/query_cache.rb:58}
  0.27      0.50     0.02     0.00     0.48    10004  <Module::Benchmark>#ms (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/benchmark.rb:16}
  0.27      0.02     0.02     0.00     0.00    80001  PGresult#ftype (ruby_runtime:0}
  0.27      0.02     0.02     0.00     0.00    10000  Array#flatten (ruby_runtime:0}
  0.27      0.02     0.02     0.00     0.00    60006  String#to_s (ruby_runtime:0}
  0.27      0.02     0.02     0.00     0.00    40001  PGresult#getvalue (ruby_runtime:0}
  0.27      0.08     0.02     0.00     0.06    20009  <Class::Time>#now (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    30000  Thread#[] (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    80001  Kernel#== (ruby_runtime:0}
  0.13      7.39     0.01     0.00     7.38    10000  <Class::ActiveRecord::Base>#find (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:610}
  0.13      0.01     0.01     0.00     0.00    10000  Kernel#=== (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10008  Float#- (ruby_runtime:0}
  0.13      0.35     0.01     0.00     0.34    10000  <Class::ActiveRecord::Base>#add_lock! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1804}
  0.13      0.01     0.01     0.00     0.00    10002  Fixnum#+ (ruby_runtime:0}
  0.13      0.02     0.01     0.00     0.01    10000  <Class::ActiveRecord::Base>#finder_needs_type_condition? (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1423}
  0.13      0.01     0.01     0.00     0.00    10000  <Class::Hash>#allocate (ruby_runtime:0}
  0.13      0.71     0.01     0.00     0.70    10000  <Class::ActiveRecord::Base>#quote_bound_value (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2419}
  0.13      0.01     0.01     0.00     0.00    60009  String#== (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    30000  String#<< (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10002  Array#shift (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    80005  Hash#[]= (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10003  Kernel#dup (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00        1  ActiveSupport::Inflector#demodulize (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/inflector.rb:241}
  0.13      0.01     0.01     0.00     0.00    20000  Kernel#is_a? (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10000  <Class::ActiveRecord::Base>#add_group! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1777}
  0.13      0.01     0.01     0.00     0.00    20009  Time#initialize (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10000  PGresult#clear (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10001  Array#+ (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    30000  Module#to_s (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    40000  Array#last (ruby_runtime:0}
  0.13      0.09     0.01     0.00     0.08    10000  <Class::ActiveRecord::Base>#validate_find_options (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:2440}
  0.13      0.01     0.01     0.00     0.00    30000  String#blank? (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/object/blank.rb:67}
  0.13      0.01     0.01     0.00     0.00    70001  Kernel#object_id (ruby_runtime:0}
  0.13      1.42     0.01     0.00     1.41    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all_without_query_cache (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/database_statements.rb:6}
  0.13      0.01     0.01     0.00     0.00    10003  ActiveRecord::ConnectionAdapters::AbstractAdapter#log_info (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract_adapter.rb:195}
  0.13      0.35     0.01     0.00     0.34    30000  String#match (ruby_runtime:0}
  0.13      0.08     0.01     0.00     0.07    10000  <Class::ActiveRecord::Base>#merge_includes (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1728}
  0.13      0.15     0.01     0.00     0.14    10000  Array#collect! (ruby_runtime:0}
  0.13      0.01     0.01     0.00     0.00    10000  Integer#to_i (ruby_runtime:0}
  0.13      0.08     0.01     0.00     0.07    10000  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys (/data/web/arch/1/lib/ruby/gems/1.8/gems/activesupport-2.3.8/lib/active_support/core_ext/hash/keys.rb:45}
  0.00      0.00     0.00     0.00     0.00        1  Benchmark::Tms#initialize (/data/web/arch/1/lib/ruby/1.8/benchmark.rb:426}
  0.00      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_exit (/data/web/arch/1/lib/ruby/1.8/monitor.rb:223}
  0.00      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#checkout_new_connection (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/abstract/connection_pool.rb:244}
  0.00      0.00     0.00     0.00     0.00        2  <Class::ActiveSupport::Inflector::Inflections>#instance (/data/web/arch/1/lib/ruby/1.8/singleton.rb:99}
  0.00      0.00     0.00     0.00     0.00        1  Module#alias_method (ruby_runtime:0}
