                user     system      total        real
find        9.080000   2.820000  11.900000 ( 12.719397)
Thread ID: 70365856317800
Total: 11.900000

 %self     total     self     wait    child    calls  name
  3.28      0.79     0.39     0.00     0.40    10007  <Module::Benchmark>#realtime (/data/web/arch/1/lib/ruby/1.8/benchmark.rb:306}
  3.19      0.38     0.38     0.00     0.00    10007  PGconn#exec (ruby_runtime:0}
  2.86      1.77     0.34     0.00     1.43   150015  Array#each (ruby_runtime:0}
  2.69      3.40     0.32     0.00     3.08   140000  Arel::SqlCompiler::GenericCompiler#method_missing (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/compiler.rb:86}
  2.61      0.31     0.31     0.00     0.00    60000  String#blank? (/home/miles/c/rails/activesupport/lib/active_support/core_ext/object/blank.rb:67}
  2.10      0.25     0.25     0.00     0.00    30009  Symbol#to_proc (ruby_runtime:0}
  2.02      1.89     0.24     0.00     1.65    10000  Arel::SqlCompiler::GenericCompiler#build_clauses (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/compiler.rb:24}
  1.85      0.49     0.22     0.00     0.27    20012  String#gsub (ruby_runtime:0}
  1.76      0.21     0.21     0.00     0.00    40000  Hash#initialize (ruby_runtime:0}
  1.68      0.97     0.20     0.00     0.77   180004  Class#new (ruby_runtime:0}
  1.51      1.31     0.18     0.00     1.13    10000  ActiveRecord::QueryMethods#build_arel (/home/miles/c/rails/activerecord/lib/active_record/relation/query_methods.rb:129}
  1.43      0.26     0.17     0.00     0.09    10003  Integer#times(d2) (ruby_runtime:0}
  1.43      0.35     0.17     0.00     0.18   140001  Object#present? (/home/miles/c/rails/activesupport/lib/active_support/core_ext/object/blank.rb:17}
  1.34      0.16     0.16     0.00     0.00    90000  <Class::Arel::Compound>#requires (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:10}
  1.18      1.23     0.14     0.00     1.09    10000  Arel::Sql::TableReference#table (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/formatters.rb:99}
  1.18      0.33     0.14     0.00     0.19   130000  Array#collect (ruby_runtime:0}
  1.09      0.16     0.13     0.00     0.03    15011  ActiveSupport::LogSubscriber#color (/home/miles/c/rails/activesupport/lib/active_support/log_subscriber.rb:111}
  1.01      0.23     0.12     0.00     0.11    40000  Kernel#clone (ruby_runtime:0}
  1.01      2.13     0.12     0.00     2.01    10007  <Module::ActiveSupport::Notifications>#instrument (/home/miles/c/rails/activesupport/lib/active_support/notifications.rb:46}
  0.92      1.92     0.11     0.00     1.81    10007  ActiveSupport::Notifications::Instrumenter#instrument (/home/miles/c/rails/activesupport/lib/active_support/notifications/instrumenter.rb:17}
  0.92      0.11     0.11     0.00     0.00    50000  Arel::Value#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/core_extensions/class.rb:27}
  0.92      0.35     0.11     0.00     0.24    30000  Arel::Compound#engine(d1) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:36}
  0.92      4.00     0.11     0.00     3.89    10000  Arel::SqlCompiler::GenericCompiler#select_sql (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/compiler.rb:10}
  0.92      0.86     0.11     0.00     0.75    20007  Proc#call (ruby_runtime:0}
  0.84      0.10     0.10     0.00     0.00    10002  String#split (ruby_runtime:0}
  0.84      0.24     0.10     0.00     0.14    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:310}
  0.84      0.30     0.10     0.00     0.20    40004  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_pool.rb:353}
  0.84      9.69     0.10     0.00     9.59    10000  ActiveRecord::Relation#to_a (/home/miles/c/rails/activerecord/lib/active_record/relation.rb:60}
  0.84      3.81     0.10     0.00     3.71   180007  Kernel#send(d1) (ruby_runtime:0}
  0.76      0.09     0.09     0.00     0.00   250013  Kernel#block_given? (ruby_runtime:0}
  0.76      0.51     0.09     0.00     0.42    30000  Arel::Compound#engine (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:36}
  0.76      0.97     0.09     0.00     0.88    40000  Kernel#__send__(d4) (ruby_runtime:0}
  0.76      0.10     0.09     0.00     0.01    50000  Enumerable#any? (ruby_runtime:0}
  0.76      0.09     0.09     0.00     0.00    20000  Array#flatten (ruby_runtime:0}
  0.76      0.12     0.09     0.00     0.03    10000  ActiveRecord::ConnectionAdapters::Quoting#quote (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/quoting.rb:8}
  0.76      3.62     0.09     0.00     3.53    80000  Kernel#__send__(d1) (ruby_runtime:0}
